project_name,customer_name,sector,equipment_category,description,year,quantity,weight_kg,complexity,material_cost,labour_cost,engineering_cost,overhead_cost,freight_cost,total_cost,quoted_value,final_value,currency,margin_pct,outcome,lost_reason
Shell & Tube Heat Exchanger (TEMA BEM) - Gujarat Alkalies 2022,Gujarat Alkalies,Power,Heat Exchanger,"High pressure heat exchanger for power. Inconel 625 clad tubes, CS shell. 200 bar design.",2022,1,1492.82,medium,516469.62,164025.21,101375.85,100311.23,36267.23,918449.13,1037092.51,1037092.51,INR,11.44,won,
Shell & Tube Heat Exchanger (TEMA BEM) - Gujarat Alkalies 2021,Gujarat Alkalies,Chemical,Heat Exchanger,"High pressure heat exchanger for chemical. SS 321 clad tubes, CS shell. 150 bar design.",2021,1,1382.74,medium,525050.5,181813.99,102595.51,107519.99,44265.1,961245.09,1085784.58,1085784.58,INR,11.47,won,
Shell & Tube Heat Exchanger (TEMA BEM) - Reliance Industries 2025,Reliance Industries,Chemical,Heat Exchanger,Shell and tube heat exchanger for chemical service. CS construction. Design per TEMA BEU.,2025,1,1521.68,medium,587390.28,184168.96,107411.84,130542.54,49867.68,1059381.31,1322243.27,1322243.27,INR,19.88,lost,technical
Advanced Shell & Tube Heat Exchanger (TEMA AES) - Gujarat State Fertilizers 2023 (3 nos),Gujarat State Fertilizers,Oil & Gas,Heat Exchanger,"High pressure heat exchanger for oil & gas. Cr-Mo steel tubes, CS shell. 60 bar design.",2023,3,1954.99,high,849102.94,267806.86,159591.28,181422.13,63497.54,1521420.75,1887618.8,1887618.8,INR,19.4,lost,technical
Advanced Shell & Tube Heat Exchanger (TEMA AES) - Dr Reddys Labs 2023,Dr Reddys Labs,Petrochemical,Heat Exchanger,Double pipe heat exchanger bundle for petrochemical. SS 316 construction.,2023,1,2396.89,high,1007696.84,298200.91,199062.04,207516.44,70396.68,1782872.91,2218883.52,2218883.52,INR,19.65,won,
High Pressure Ammonia Synthesis Loop Heat Exchanger - Reliance Industries 2022,Reliance Industries,Fertilizer,Heat Exchanger,Double pipe heat exchanger bundle for fertilizer. duplex stainless steel construction.,2022,1,4462.26,high,1596998.89,498775.15,343785.82,384388.87,230596.92,3054545.65,3581784.3,3581784.3,INR,14.72,won,
High Pressure Ammonia Synthesis Loop Heat Exchanger - Tata Chemicals 2025,Tata Chemicals,Power,Heat Exchanger,Shell and tube heat exchanger for power service. 1.25Cr-0.5Mo construction. Design per TEMA BEU.,2025,1,3903.72,high,1722559.06,527859.47,320618.49,398724.76,234343.49,3204105.28,3893202.04,3893202.04,INR,17.7,won,
High Pressure Ammonia Synthesis Loop Heat Exchanger - Reliance Industries 2022 (2 nos),Reliance Industries,Power,Heat Exchanger,Double pipe heat exchanger bundle for power. 1.25Cr-0.5Mo construction.,2022,2,4995.09,high,1974184.56,620227.95,363054.67,416400.16,177228.76,3551096.1,4354501.66,4354501.66,INR,18.45,lost,technical
Cycle Gas Cooler - JSW Steel 2025,JSW Steel,Fertilizer,Heat Exchanger,Shell and tube heat exchanger for fertilizer service. Incoloy construction. Design per TEMA BEU.,2025,1,3417.24,high,1345157.58,410299.01,273244.82,307312.77,130407.7,2466421.88,2819090.04,2819090.04,INR,12.51,won,
Cycle Gas Cooler - Chambal Fertilisers 2022,Chambal Fertilisers,Oil & Gas,Heat Exchanger,Shell and tube heat exchanger for oil & gas service. SS 304 construction. Design per TEMA AES.,2022,1,2894.74,high,1252892.62,391040.44,238041.51,287804.97,177310.12,2347089.66,2691307.95,2691307.95,INR,12.79,won,
